caseid,weight,votereg,Q2,Q3a,Q3b,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10,Q12,Q18_1,Q18_2,Q18_3,Q18_6,Q21,Q22,tsmart_voter_score,tsmart_pid,tsmart_G2016_vote_type,tsmart_P2016_vote_type,tsmart_P2014_vote_type,tsmart_G2014_vote_type,tsmart_G2012_vote_type,tsmart_P2012_vote_type,tsmart_PP2012_vote_type,tsmart_match_status,tsmart_G2018,tsmart_G2018_vote_type,tsmart_P2018,tsmart_P2018_party,tsmart_P2018_vote_type,birthyr,gender,race,educ,marstat,employ,faminc_new,pid3,pid7,presvote16post,inputstate,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime
1038148791,0.177660535337066,1,9,9,1,4,4,4,4,5,4,4,4,2,4,4,4,4,4,2,4,4,4,2,15,3,998,998,998,998,998,998,998,998,2,998,3,998,998,998,1,998,998,998,997,997,997,997,997,2,4,3,3,3,2,4,2,2,3,5,98,5,5,5,98,98,1,1,5,1,2,5,1947,1,1,6,1,5,10,3,5,2,45,3,1,1,3,1,1,1,11/23/2019 02:20:08,11/23/2019 02:29:15
1037428469,0.931734612382037,1,9,9,1,6,2,2,5,6,2,5,6,5,3,2,6,4,6,5,4,3,5,4,2,4,998,1,2,998,998,4,998,998,998,998,3,998,998,998,998,998,998,998,1,2,3,5,4,1,1,3,3,8,1,3,2,1,3,5,98,5,5,5,98,98,1,1,5,1,1,5,1950,1,1,6,1,5,12,1,2,1,45,2,1,11,2,2,2,7,11/23/2019 02:28:16,11/23/2019 02:34:56
1038550395,1.57074826057377,1,9,9,1,3,3,4,2,5,4,3,5,4,1,3,4,2,3,4,1,4,4,4,16,4,998,998,998,3,998,998,998,998,998,2,998,998,998,998,998,1,998,998,4,5,2,3,1,1,2,3,3,2,1,1,1,8,8,98,98,98,98,98,98,98,8, , , , , ,1991,1,1,3,5,4,7,1,1,7,45,1,1,10,6,2,4,7,11/23/2019 02:36:32,11/23/2019 02:44:54
1038561451,0.684528229912132,1,9,9,2,6,2,3,2,6,1,2,6,3,2,2,2,2,6,2,1,3,3,4,6,3,998,5,998,998,998,1,998,998,998,3,998,998,4,998,998,2,998,998,5,1,3,4,2,1,2,3,3,2,1,3,2,1,3,5,98,98,5,5,98,5,1,1,5,1,1,5,1960,1,1,5,1,5,97,3,3,1,45,3,1,2,4,2,1,1,11/23/2019 03:02:18,11/23/2019 03:08:03
1038506433,0.168930907520609,1,9,9,1,5,5,5,5,5,5,5,5,2,5,5,5,1,5,2,5,5,5,4,13,2,998,9,998,8,998,998,998,998,2,5,4,998,1,10,3,7,998,6,4,5,2,1,3,2,4,2,3,3,2,2,2,1,3,5,5,5,5,5,5,5,1,1,5,1,2,5,1959,1,5,2,1,5,9,3,4,4,45,1,1,1,6,2,1,1,11/23/2019 03:06:01,11/23/2019 03:15:53
1038212625,0.1381049020343,1,9,9,2,6,4,4,4,5,3,4,6,5,4,3,4,3,6,4,3,4,4,1,19,5,998,998,998,998,998,998,998,998,1,998,998,998,998,998,998,998,998,998,997,997,997,997,997,3,4,8,3,3,2,4,2,2,3,5,98,98,5,5,98,98,1,1,5, , , ,1949,2,1,4,3,5,5,2,6,2,45,3,1,1,3,1,2,3,11/23/2019 03:07:13,11/23/2019 03:19:13
1038552857,0.0841398660503851,1,9,9,1,3,1,4,4,3,3,3,3,4,3,3,6,2,6,3,1,3,3,4,2,4,998,1,998,998,4,998,998,998,998,998,998,998,3,998,998,2,998,998,1,4,998,3,2,1,1,3,3,3,3,2,2,2,3,5,98,5,5,5,98,98,1,1,5,1,1,5,1963,1,2,5,5,1,5,3,4,1,45,2,2,11,1,1,1,1,11/23/2019 03:08:01,11/23/2019 03:21:16
1038516329,1.24753916080663,1,9,9,1,4,3,3,3,4,3,4,4,4,2,4,4,2,4,2,1,4,3,4,16,2,998,4,998,3,998,7,998,998,998,2,998,998,6,998,5,1,998,998,5,3,1,4,2,4,2,1,3,3,2,5,2,3,3,5,98,98,98,98,98,98,1,1,5, , , ,1996,2,2,5,5,2,5,1,2,7,45,3,3,3,5,1,2,6,11/23/2019 03:42:56,11/23/2019 03:54:54
1038591327,0.255533076415067,1,9,9,1,6,4,5,2,6,4,2,6,1,5,5,6,4,6,1,1,6,6,4,16,4,998,998,998,998,998,998,998,998,2,998,998,998,3,998,998,1,998,998,998,998,998,998,1,2,2,3,3,3,2,2,3,2,3,5,98,98,5,9,98,98,1,1,5, , , ,1961,1,1,4,5,4,97,3,4,2,45,3,2,11,6,1,3,1,11/23/2019 04:32:55,11/23/2019 04:40:10
1038475589,1.46563870142211,1,9,9,1,6,1,3,3,6,4,4,3,4,3,4,5,2,6,3,1,4,4,4,2,4,998,1,998,998,998,998,998,998,998,998,998,998,3,998,998,2,998,998,1,998,4,3,2,1,1,3,3,3,1,5,3,1,3,5,98,98,5,5,98,98,1,1,5,1,1,5,1974,2,2,6,1,1,8,1,2,1,45,3,2,1,2,1,1,1,11/23/2019 00:23:38,11/23/2019 05:01:44
